series;airpassanger;;;;;;
30.625;3.481034325;;;;;;
32.25;3.534549275;;;;;;
29.75;3.451042069;;;;;;
30.75;3.48524953;;;;;;
32.71428571;3.549349365;;;;;;
28.5;3.406645192;;;;;;
28.625;3.411170754;;;;;;
30;3.459699473;;;;;;
30;3.459699473;;;;;;
31.625;3.514289446;;;;;;
32.25;3.534549275;;;;;;
32.875;3.554424066;;;;;;
33.375;3.5700564;;;;;;
31;3.493629287;;;;;;
28.16666667;3.39448028;;;;;;
27.875;3.383718492;;;;;;
29;3.424630974;;;;;;
29;3.424630974;;;;;;
31;3.493629287;;;;;;
31.625;3.514289446;;;;;;
28.625;3.411170754;;;;;;
28.25;3.397534817;;;;;;
28.375;3.402099938;;;;;;
30.375;3.472552573;;;;;;
31.75;3.518372936;;;;;;
31.25;3.501942407;;;;;;
32.25;3.534549275;;;;;;
32.375;3.538554562;;;;;;
29.28571429;3.434771222;;;;;;
30;3.459699473;;;;;;
31.375;3.506074309;;;;;;
33.125;3.562269433;;;;;;
31.75;3.518372936;;;;;;
31;3.493629287;;;;;;
29;3.424630974;;;;;;
29.14285714;3.429713401;;;;;;
31.375;3.506074309;;;;;;
32.875;3.554424066;;;;;;
32.28571429;3.535695209;;;;;;
29;3.424630974;;;;;;
30.5;3.476802052;;;;;;
31.25;3.501942407;;;;;;
30.25;3.468285746;;;;;;
28;3.388344273;;;;;;
28;3.388344273;;;;;;
28.75;3.415676792;;;;;;
28.125;3.392949655;;;;;;
25.75;3.301772244;;;;;;
29.5;3.44231234;;;;;;
30.25;3.468285746;;;;;;
31.375;3.506074309;;;;;;
28.625;3.411170754;;;;;;
27.75;3.37907213;;;;;;
27.75;3.37907213;;;;;;
27.75;3.37907213;;;;;;
29.25;3.43350906;;;;;;
27.625;3.374405;;;;;;
30.5;3.476802052;;;;;;
30;3.459699473;;;;;;
30.5;3.476802052;;;;;;
28.125;3.392949655;;;;;;
28.25;3.397534817;;;;;;
29.875;3.455379736;;;;;;
31;3.493629287;;;;;;
31.625;3.514289446;;;;;;
31.25;3.501942407;;;;;;
32.375;3.538554562;;;;;;
32.625;3.546519412;;;;;;
31.875;3.522440541;;;;;;
29.28571429;3.434771222;;;;;;
29.625;3.446686321;;;;;;
30.375;3.472552573;;;;;;
30.75;3.48524953;;;;;;
31.5;3.510189946;;;;;;
32.125;3.530528588;;;;;;
30.375;3.472552573;;;;;;
28.375;3.402099938;;;;;;
27.875;3.383718492;;;;;;
29;3.424630974;;;;;;
29.5;3.44231234;;;;;;
