lag,acf,pacf
0,1.0,1.0
1,-0.0005249977422439508,-0.0005252031404216714
2,-0.010351559179959158,-0.010359940857712302
3,0.0095196708411292,0.009520939037990435
4,-0.00026750795867241717,-0.00036615499101448276
5,0.015211372630592291,0.015441290681219235
6,0.0021082864169501008,0.002029881452172878
7,-0.004863437535272408,-0.004550873223195327
8,0.03639703202016282,0.03627248185982916
9,-0.002065785135020141,-0.0021797237023981307
10,-0.007866667312868352,-0.0072925612813270506
11,-0.0031001030873746603,-0.003917633602037749
12,-0.015570100515330611,-0.015635566752447063
13,0.009861930376255964,0.008906792545383563
14,0.022710601202020005,0.02250475423076106
15,-0.027097715245047147,-0.026254025986731717
16,-0.03276932005864229,-0.034005417146752856
17,-0.03215378466169577,-0.03291700426321738
18,-0.01514267253959076,-0.015259941119830643
19,0.019141880985011534,0.018719221245346945
20,0.006416011592825124,0.008760849730308882
21,-0.023053850812216656,-0.02220729393695228
22,-0.004231412070557499,-0.005647895544680676
23,-0.05921091619745047,-0.05842886914496471
24,-0.0011245438637025398,0.0007527610179842106
25,-0.009139590951356963,-0.008366208764747345
26,0.019981242503201487,0.02329476988293697
27,0.04735432734311096,0.04518533375756001
28,-0.020534222842584934,-0.020774589738801568
29,0.03054867732206447,0.0343671612139028
30,0.00484777768122069,0.004736130772249793
31,0.02530032382570217,0.03105725981590558
32,-0.00653140188147264,-0.010978823356757905
33,0.013458190163915234,0.010033313116322384
34,0.0035371949468393452,-0.000734874489772867
